,Gray Whales,Fin Whales,Humpback Whales,Blue Whales,Minke Whales,False Killer Whales,Orca Whales,Sei Whales,Temp
Day 243,0,0,0,0,0,0,0,0,12.1
Day 244,0,0,0,0,0,0,0,0,12.5
Day 245,0,0,0,0,0,0,0,0,12.5
Day 246,0,0,0,0,0,0,0,0,12.1
Day 247,0,0,0,0,0,0,0,0,11.8
Day 248,0,0,0,0,0,0,0,0,12.1
Day 249,0,0,0,0,0,0,0,0,12.2
Day 250,0,0,0,0,0,0,0,0,12.2
Day 251,0,0,0,0,0,0,0,0,11.8
Day 252,0,0,0,0,0,0,0,0,12
Day 253,0,0,0,0,0,0,0,0,11.4
Day 254,0,0,0,0,0,0,0,0,11.8
Day 255,0,0,0,0,0,0,0,0,11.7
Day 256,0,0,0,0,0,0,0,0,11.8
Day 257,0,0,0,0,0,0,0,0,11.7
Day 258,0,0,0,0,0,0,0,0,11.7
Day 259,0,0,0,0,0,0,0,0,11.8
Day 260,0,0,0,0,0,0,0,0,11.7
Day 261,0,0,0,0,0,0,0,0,11.4
Day 262,0,0,0,0,0,0,0,0,11.3
Day 263,0,0,0,0,0,0,0,0,11
Day 264,0,0,0,0,0,0,0,0,10.6
Day 265,0,0,0,0,0,0,0,0,10.3
Day 266,0,0,0,0,0,0,0,0,9
Day 267,0,0,0,0,0,0,0,0,9.5
Day 268,0,0,0,0,0,0,0,0,10.6
Day 269,0,0,0,0,0,0,0,0,10.6
Day 270,0,0,0,0,0,0,0,0,10.6
Day 271,0,0,0,0,0,0,0,0,9.4
Day 272,0,0,0,0,0,0,0,0,9.5
Day 273,0,0,0,0,0,0,0,0,9.7
Day 274,0,0,0,0,0,0,0,0,9.4
Day 275,0,0,0,0,0,0,0,0,9.7
Day 276,0,0,0,0,0,0,0,0,9.4
Day 277,0,0,0,0,0,0,0,0,9
Day 278,0,0,0,0,0,0,0,0,9
Day 279,0,0,1,0,0,0,0,0,9
Day 280,0,0,0,0,1,0,0,0,9.4
Day 281,0,0,0,0,0,0,0,0,9.1
Day 282,0,0,0,0,0,0,0,0,9
Day 283,0,0,0,0,0,0,0,0,9.4
Day 284,0,0,0,0,0,0,0,0,9.4
Day 285,0,0,0,0,0,0,0,0,9.1
Day 286,0,0,0,0,0,0,0,0,9.1
Day 287,0,0,0,0,0,0,0,0,9
Day 288,0,0,0,0,0,0,0,0,8.7
Day 289,0,0,0,0,0,0,0,0,8.9
Day 290,0,0,0,0,0,0,0,0,8.8
Day 291,0,0,0,0,0,0,0,0,8.6
Day 292,0,0,0,0,0,0,0,0,8.3
Day 293,0,0,0,0,0,0,0,0,8.2
Day 294,0,0,0,0,0,0,0,0,7.9
Day 295,0,0,0,0,0,0,0,0,7.9
Day 296,0,0,0,0,0,0,0,0,8.2
Day 297,0,0,0,0,0,0,0,0,7.8
Day 298,0,0,0,0,0,0,0,0,7.8
Day 299,0,0,0,0,0,0,0,0,7.8
Day 300,0,0,0,0,0,0,0,0,7.8
Day 301,0,0,0,0,0,0,0,0,7.8
Day 302,0,0,0,0,0,0,0,0,7.5
Day 303,0,0,0,0,0,0,0,0,7.5
Day 304,0,0,0,0,0,0,0,0,7.1
Day 305,0,0,0,0,0,0,0,0,7
Day 306,0,0,0,0,0,0,0,0,7.1
